ผลคะแนนการเลือกตั้งสมาชิกสภาผู้แทนราษฎร แบบแบ่งเขตเลือกตั้ง เมื่อวันที่ 24 มีนาคม 2562,,,,,
จำแนกตามเขตเลือกตั้ง,,,,,
,,,,,
จังหวัด,เขต,หมายเลข,ชื่อผู้สมัคร,พรรค,ผลคะแนน
,,28,นางสาวประภัสสร  แก้วประเสริฐ,ภาคีเครือข่ายไทย,24
,,32,นายณภัทร  หลวงเมือง,ประชาธรรมไทย,16
,,19,นายทนัฏฐ์  ปานโสภณ,พลังปวงชนไทย,14
,,27,นายสุชาติ  สุวรรณปราโมทย์,มติประชา,9
,6,11,นางสาวภาดาท์  วรกานนท์,พลังประชารัฐ,"28,690"
,,8,นายคริส  โปตระนันทน์,อนาคตใหม่,"23,980"
,,3,นายประพนธ์  เนตรรังษี,เพื่อไทย,"22,275"
,,10,นายอรรถวิชช์  สุวรรณภักดี,ประชาธิปัตย์,"16,525"
,,20,นางสุมณฑา  อ่อนนุ่ม,เศรษฐกิจใหม่,"5,416"
,,2,นายภูวพัฒน์  ชนะสกล,เสรีรวมไทย,"2,471"
,,1,นายอนุชาญ  กวางทอง,ภูมิใจไทย,"1,101"
,,7,นางดวงกมล  ดวงสร้อยทอง,รวมพลังประชาชาติไทย,811
,,18,พลตำรวจตรี สุริยะ  อยู่เย็น,รักษ์ผืนป่าประเทศไทย,429
,,15,นายรุจชรินทร์  ทองใหญ่,พลังท้องถิ่นไท,384
,,9,นายพีรชาติ  ยุกตานนท์,ชาติไทยพัฒนา,276
,,4,ร้อยตำรวจโท รพีพจน์  เจิมเทียนชัย,ประชาชนปฏิรูป,263
,,6,นายณัฏฐ์ปิยะ  กุลจิรารวีนิภา,ชาติพัฒนา,224
,,16,นายพิชัย  บุราวาศ,ไทยศรีวิไลย์,164
,,17,นายสุรภาส  วิเชียร,ภราดรภาพ,117
,,13,นายวิโรจน์  เจษฎาดิลก,ประชาชาติ,115
,,12,นายไชยา  ประดิษฐธรรม,เพื่อชาติ,102
,,21,นางอังศุธร  อังคะพินทุ,พลังชาติไทย,75
,,5,นายสังวน  เจิมแป้น,ประชานิยม,66
,,27,นางสาวฐาปนี  โปร่งรัศมี,พลเมืองไทย,63
,,23,นายภัทรพงศ์  วนะไชยเกียรติ,พลังรัก,59
,,25,นางนภารำไพ  ณ นคร,มหาชน,49
,,30,นายลาภวัต  สุริยสกุลลาภ,ประชาธิปไตยใหม่,44
,,19,นายประวีร์  จินดาวรรณ,เพื่อแผ่นดิน,39
,,22,นายพิสิษฐ์  พิพัฒน์กุลบุตร,ครูไทยเพื่อประชาชน,38
,,14,นายเอนก  นาคดิลก,ประชาภิวัฒน์,36
,,24,นายขรรค์ชัย  แก้วเนตร,พลังปวงชนไทย,33
,,26,นายมิตรพล  สิทธิกูล,พลังไทสร้างชาติ,16
,,28,นายปริญญา  งามพัฒนพงศ์ชัย,มติประชา,15
,,29,นายคชษิน  กาดัสซา,ภาคีเครือข่ายไทย,3
,7,4,นางสาวธณิกานต์  พรพงษาโรจน์,พลังประชารัฐ,"25,180"
,,17,ร้อยตำรวจเอก วัฒนรักษ์  สุรนาทยุทธ์,เพื่อไทย,"23,998"
,,3,นายปิยะชาติ  อำนวยเวช,อนาคตใหม่,"21,339"
กรุงเทพมหานคร,7,15,นายคณวัฒน์  จันทรลาวัณย์,ประชาธิปัตย์,"12,896"
,,12,นางพิมพ์อร  คงอุดม,พลังท้องถิ่นไท,"5,160"
,,22,นายณัทพสิษฐ์  ประสานวงศ์,เศรษฐกิจใหม่,"3,848"
,,7,นายวรินทร  สิรรมย์,เสรีรวมไทย,"2,006"
,,14,นายอัครนันท์  อริยศรีพงษ์,ภูมิใจไทย,"1,003"
,,11,นายกันตพล  กิตติธากรณ์,รวมพลังประชาชาติไทย,658
,,16,พลโทหญิง พงษ์รุจี  ศิริวัฒนะ,รักษ์ผืนป่าประเทศไทย,476
,,13,นางสาวโพยมราษี  ฤกษ์สำราญ,เพื่อชาติ,426
,,1,นายธัญญธำรง  อัศวนนท์,ประชาชาติ,259
,,8,นายปฐมพร  ทิมเพชร,ชาติไทยพัฒนา,242
,,9,นางสาวกฤษยากร  สรชัย,ไทยศรีวิไลย์,238
,,6,นายวิโรจน์  จิตรอบอารีย์,ชาติพัฒนา,224
,,2,นายพรมงคล  ศรีดี,ประชาชนปฏิรูป,164
,,5,นายกัษณ  เข็มเพ็ชร,ประชาภิวัฒน์,123
,,18,นายพีรยุทธ  อินทรสุวรรณ,ประชานิยม,97
,,21,นางสาวศจีกาญจน์  สรรพช่าง,ภราดรภาพ,92
,,24,นายวโรภาส  แสงเพชร,พลังชาติไทย,89
,,10,นายสมชาติ  อ่อนประดิษฐ์,เพื่อแผ่นดิน,81
,,27,นายนิธิศ  ศรีแย้ม,กลาง,59
,,29,ร้อยตำรวจตรี เสน่ห์  ชัยทร,ประชากรไทย,58
,,23,นายกิติพันธ์  นันทะสีวะลี,ครูไทยเพื่อประชาชน,39
,,31,นายกิตติพศ  กากาเคน,ไทรักธรรม,32
,,19,พันเอก สันติ  โอเงิน,พลังศรัทธา,30
,,26,นายวิสุทธิ์  โพธิ์ศรี,แผ่นดินธรรม,30
,,30,นายสันต์สุข  ไตรเพทพิสัย,มหาชน,26
,,20,นายอริยะ  ฮุยลัน,พลังปวงชนไทย,20
,,28,นายอิทธิพล  ตัตวธร,ประชาธรรมไทย,20
,,25,นายรัฐโรจน์  ประสิทธิ์พรกุล,มติประชา,13
,8,2,นายกษิดิ์เดช  ชุติมันต์,พลังประชารัฐ,"29,090"
,,6,ร้อยโทหญิง สุณิสา  ทิวากรดำรง,เพื่อไทย,"26,122"
,,12,นายธนเดช  เพ็งสุข,อนาคตใหม่,"25,656"
,,16,นายสรรเสริญ  สมะลาภา,ประชาธิปัตย์,"15,384"
