ผลคะแนนการเลือกตั้งสมาชิกสภาผู้แทนราษฎร แบบแบ่งเขตเลือกตั้ง เมื่อวันที่ 24 มีนาคม 2562,,,,,
จำแนกตามเขตเลือกตั้ง,,,,,
,,,,,
จังหวัด,เขต,หมายเลข,ชื่อผู้สมัคร,พรรค,ผลคะแนน
,,9,นายอดิศักดิ์  ภิมาลย์,ประชาธิปัตย์,"6,916"
,,12,นายบรรจง  มหาวงศนันท์,เสรีรวมไทย,"1,210"
,,1,พลตำรวจตรี วีระชัย  บั้งเงิน,ประชาภิวัฒน์,"1,061"
,,19,นางจุฑาทิพย์  ไชยวุฒิ,เศรษฐกิจใหม่,917
,,2,นางวาสนา  ยศสอน,พลังปวงชนไทย,884
,,10,นายราเชนทร์  กาบคำ,เพื่อชาติ,745
,,3,นายสมจิตร  ไชยสลี,ประชาธิปไตยใหม่,647
,,20,นางสาวสุทธญาณ์  ธนูศร,ภูมิใจไทย,494
,,8,นายกิตติพงศ์  ดวงพิกุล,พลังท้องถิ่นไท,451
,,27,นายปลัญช์ณกรณ์  กุลณาวงศ์  จตุรพัฒนสกุล,แทนคุณแผ่นดิน,431
,,24,นายอินสงค์  จันทร์ดี,ชาติพันธุ์ไทย,398
,,5,นายเกษม  รุณใจ,ภราดรภาพ,316
,,26,นายนิพนธ์  อินต๊ะสอน,ทางเลือกใหม่,276
,,14,นายธงชัย  สว่างวงษ์,เพื่อแผ่นดิน,274
,,13,นายณัฏฐกิตติ์  อินต๊ะจักร์,รวมพลังประชาชาติไทย,246
,,23,นางชญานิศวร์  รัศมีดำรงโรจน์,พลังไทยรักไทย,210
,,16,นายประเกณฑ์  อินน้อย,ประชานิยม,143
,,22,นายธิติฉัตร  ต๊ะดี,พลังชาติไทย,138
,,28,นายจำลอง  จันพล,ไทรักธรรม,137
,,11,นายโสภณ  ไพรวัลย์บริบูรณ์,ประชาชาติ,135
,,21,นางสาวเกื้อกูล  สุนันทนานนท์,กรีน,129
,,17,นายวิโรจน์  เป็งแก้ว,ประชาชนปฏิรูป,114
,,25,นายอรรถพล  คนเที่ยง,ประชาธรรมไทย,92
,,18,นายมงคล  เทพเสน,ครูไทยเพื่อประชาชน,67
,2,6,นายชลน่าน  ศรีแก้ว,เพื่อไทย,"46,824"
,,15,นายสุรวุฒิ  อินนะใจ,อนาคตใหม่,"16,066"
,,5,นายเสริฐ  เจริญดี,พลังประชารัฐ,"13,829"
,,7,นายจาตุรนต์   อินนาอัคราคุณ,ประชาธิปัตย์,"8,954"
,,10,นายชัยวุฒิ  คูอาริยะกุล,ชาติไทยพัฒนา,"3,776"
,,1,นายอนุวัฒน์  ท้าวเชียง,เพื่อชาติ,"2,145"
,,14,นายสุขวิชณิ์  มาไชย,เสรีรวมไทย,979
,,26,นายพินิตย์  ณ น่าน,ประชาธรรมไทย,523
,,19,นายผ่าน  สีแก้ว,เศรษฐกิจใหม่,480
น่าน,2,4,นายวัชรินทร์  อินต๊ะวิชัย,รวมพลังประชาชาติไทย,467
,,22,นายสายันต์  ก้อนใหม่,ชาติพันธุ์ไทย,404
,,25,นายสัจจา  แสนซุ้ง,พลังแผ่นดินทอง,351
,,21,นางวรัทยา  อินตุ้ย,พลังไทยรักไทย,332
,,12,นางวราภรณ์  บุญศัพย์,พลังท้องถิ่นไท,310
,,2,นายธนู  ภัทรวรากุล,ประชาชาติ,259
,,3,นายณฐกร  พุฒตรง,พลังปวงชนไทย,259
,,8,ดาบตำรวจ สวงษ์  ใหม่จันทร์,ภราดรภาพ,234
,,9,พันตำรวจโท สมาน  บุตรราช,ประชาภิวัฒน์,216
,,16,นายหฤษฏกูล  ชูดิษยสกุล,ประชาชนปฏิรูป,174
,,18,นายศักดา  ศรีเทพ,ครูไทยเพื่อประชาชน,164
,,27,นายบุญส่ง  ปัญญาสา,แทนคุณแผ่นดิน,160
,,11,นายชมพล  พรมกามินทร์,เพื่อแผ่นดิน,153
,,20,นางโชตินภา  ธุระจริง,ภูมิใจไทย,137
,,17,นางชนานุช  เป็งแก้ว,ประชานิยม,126
,,24,ว่าที่ ร้อยตรีหญิง สุมนทิพย์  ก๋าวงค์,กรีน,124
,,23,นางสาวพรพชรวรรณ  ทิพย์บุญศรี,พลังชาติไทย,118
,,28,นายประกรณ์  ทิศเป็ง,ไทรักธรรม,79
,3,3,นายณัฐพงษ์  สุปริยศิลป์,เพื่อไทย,"31,659"
,,9,นายคุณดร  งามธุระ,พลังประชารัฐ,"22,741"
,,15,นายจักรกริศน์  ปันศิริ,อนาคตใหม่,"13,014"
,,10,พันตรี สุชิน  ยาปัน,ชาติไทยพัฒนา,"5,387"
,,6,นายสำเริง  แก้วเทพ,ประชาธิปัตย์,"2,743"
,,8,นายนิติต่วน  ยะแสง,พลังปวงชนไทย,"2,067"
,,4,ร้อยตำรวจโท ศรศักดิ์  เคร่งครัด,เสรีรวมไทย,"1,609"
,,21,นางสาวธัชมนตร์  นวนาคธนสิทธิ์,ภูมิใจไทย,903
,,12,นายโสภณ  ศรีมาเหล็ก,พลังท้องถิ่นไท,882
,,23,นายอรรถชัย  วุฒิปัณณวัฒน์,พลังไทยรักไทย,715
,,7,นายถนอม  ใหม่กันทะ,ประชาธิปไตยใหม่,646
,,1,นายสมพงษ์  พิมพ์มาศ,ประชาภิวัฒน์,604
,,2,นายพลายปัญญา  อยู่เอนก,เพื่อแผ่นดิน,591
,,20,นายสัมฤทธิ์  คำรังษี,เศรษฐกิจใหม่,521
,,13,นายยก  บุญอินทร์,รวมพลังประชาชาติไทย,413
,,5,นายต่วน  ไชยโย,เพื่อชาติ,297
,,28,นายสง่าชัย  ใจห้าว,ภาคีเครือข่ายไทย,274
,,14,นายสันติภาพ  แซ่คำ,ประชาชาติ,261
,,22,นายอนุพงศ์  คำยันต์,พลังชาติไทย,201
,,11,นายปัทฎิญญา  ปัญญาวิเศษกาล,ภราดรภาพ,178
,,19,จ่าสิบตำรวจ เพิ่มศักดิ์  ศรีวรรณ์,ครูไทยเพื่อประชาชน,178
,,17,นางปาริชาติ  อินทะรังษี,ประชานิยม,151
,,26,นางสาวรัตนาพร  คำหว่าง,แทนคุณแผ่นดิน,142
,,18,นางสาวทัศนีย์  เจดีย์ยศ,ประชาชนปฏิรูป,137
,,24,นายเลาหล้า   แซ่เล้า,ชาติพันธุ์ไทย,119
,,25,นายสมบูรณ์  จันอ้น,กรีน,94
,,27,นายนิทัศน์  ดอนนันชัย,ไทรักธรรม,78
บึงกาฬ,1,5,นายเชิดพงศ์  ราชป้องขันธ์,เพื่อไทย,"36,117"
,,3,นางแว่นฟ้า  ทองศรี,ภูมิใจไทย,"30,926"
บึงกาฬ,1,8,นายสุทธิณัฐ  นามวัน,อนาคตใหม่,"17,072"
,,7,นายเกรียงศักดิ์  วงษ์คงคำ,พลังประชารัฐ,"11,862"
,,14,นายปรวรรษ  หวายฤทธิ์,ประชาธิปัตย์,"1,268"
,,10,พันตำรวจเอก กิตติพงศ์  สินจิตต์,เสรีรวมไทย,"1,261"
,,23,นางสาวรจนา  พลเยี่ยม,พลังปวงชนไทย,"1,233"
,,25,นายดำรง  ไชยสิทธิ์,ครูไทยเพื่อประชาชน,676
,,4,นางสาววรรักษ์วัลย์  สมบูรณ์,ชาติพัฒนา,572
,,22,นายสุริยันต์  วงศ์ษา,ประชาธรรมไทย,562
,,32,นายโยธิน  บุญแก้ว,เศรษฐกิจใหม่,495
,,13,นายชาญวุฒิ  บุตดา,เพื่อชาติ,457
,,1,นายสมนึก  พิทูลทอง,รวมพลังประชาชาติไทย,366
,,2,นายสุวิทย์  นาคลา,พลังท้องถิ่นไท,339
,,27,นายจิณณวัตร  พรรณวงศ์,ฐานรากไทย,324
,,16,นายยุทธพงษ์  แสงศรี,ชาติไทยพัฒนา,316
,,21,นายอรุณ  วัดโสภา,พลเมืองไทย,315
,,6,นายภูคมิน  สายลุน,รักษ์ผืนป่าประเทศไทย,261
,,28,นางศิรินันท์  เทศโมลี,เพื่อไทยพัฒนา,198
,,18,นายบุญเหลือ  ราชภักดี,พลังไทยรักไทย,189
,,34,นายสุนทร  เทียบเพชร,ผึ้งหลวง,159
,,15,นายสมพงษ์  อุตรธรณ์,ประชานิยม,146
,,20,นายบุญมี  กุลวงษ์,ไทยศรีวิไลย์,142
,,30,นายไพฑูล  สินแสวง,พลังสังคม,134
,,26,นายประหยัด  นาหอคำ,เพื่อแผ่นดิน,87
,,24,นายชาญธีรดล  สมบูรณ์,ประชากรไทย,86
,,11,นายกิตติมศักดิ์  พระราช,ประชาภิวัฒน์,70
,,17,นายกิตติกรณ์  ศรีสงคราม,ประชาธิปไตยใหม่,70
,,36,นายเกรียงชัย  บัวซาว,ไทรักธรรม,66
,,12,นายอาทิตย์  อักษรศิริ,ประชาชนปฏิรูป,54
,,29,นายจิรายุ  สุทะสิงห์,พลังชาติไทย,53
,,33,นายบุญนำ  วังตะเคน,พลังศรัทธา,44
,,35,นายสากล  นันทรักษ์,พลังประชาธิปไตย,41
,,19,นายชาดี  ผ่านชมภู,พลังธรรมใหม่,30
,,31,นางกรรณิกา  โพธิ์สว่าง,พลังไทสร้างชาติ,23
,2,9,นายไตรรงค์  ติธรรม,เพื่อไทย,"35,359"
,,3,นายสำรวย  ศรีทิน,อนาคตใหม่,"19,732"
,,2,นายจรูญ  แสนพิมพ์,ภูมิใจไทย,"16,584"
,,8,นายไพรวัลย์  อรกุล,พลังประชารัฐ,"15,861"
,,22,ร้อยตำรวจเอก ไพศาล  ข่าทิพย์พาที,ชาติไทยพัฒนา,"2,549"
,,13,นายไพโรจน์  จิตไพศาล,เพื่อชาติ,"1,930"
,,1,นายวินัย  ติยะบุตร,ประชาธิปัตย์,"1,896"
,,6,นางสาวอารตี  สีมา,เสรีรวมไทย,"1,352"
,,15,นายณรงค์  อินโพธิษา,เศรษฐกิจใหม่,"1,312"
,,36,นายเกตุแก้ว  หาญเชิงชัย,รักท้องถิ่นไทย,761
,,29,นางดนิตา  ชาตานันท์,เพื่อไทยพัฒนา,745
,,28,นายอภิรักษ์  อำมาตย์สำราญ,พลังปวงชนไทย,565
,,19,นายไชยา  บุษมงคล,ภราดรภาพ,314
,,33,นายสุริยา  ภูยี่หวา,ผึ้งหลวง,277
บึงกาฬ,2,10,นางประภัสสร  ทองปาน,ประชาชนปฏิรูป,234
,,5,นายแก้ว  พูลเพิ่ม,รวมพลังประชาชาติไทย,232
,,23,นายเกริกชัย  พลชา,ประชาชาติ,215
,,7,นายนวพล  สิริกรรณ์,ประชาภิวัฒน์,201
,,4,นางสาวศิริวรรณ  ปุดตะศิริวงษ์,พลังท้องถิ่นไท,145
,,12,นายบุษบา  วงค์ใหญ่,รักษ์ผืนป่าประเทศไทย,126
,,16,นายมุนิตย์  แสนวัง,ประชาธิปไตยใหม่,126
,,17,นางสายปวีณ์  เทียนเถื่อน,ไทยศรีวิไลย์,124
,,20,นายอุทัย  วงศ์อามาตย์,ประชาธรรมไทย,123
,,32,นายบุญล้อม  กางศรี,พลังไทยรักไทย,112
,,18,นางสาวสาวิตรี  พลภักดี,พลเมืองไทย,110
,,21,นางชนิตา  บุญประสิทธิ์,ประชากรไทย,108
,,14,นายหนูทอง  มาตรพระคลัง,ประชานิยม,90
,,31,นางยุวดี  แก้วสนิท,พลังสังคม,89
,,24,นายเพ็ง  ลมกาหลง,ครูไทยเพื่อประชาชน,84
,,27,นายประยงค์  แก้วยา,พลังไทสร้างชาติ,79
,,26,นางสาววรรษวรรณ  สุทธศรี,แผ่นดินธรรม,75
,,30,นางศุภนิจ  อธิฏฐาน,พลังชาติไทย,52
,,25,นายโกสินธุ์  หันตุลา,เพื่อแผ่นดิน,41
,,34,นายบุญส่ง  วีระศักดิ์,ไทรักธรรม,32
,,35,นายจันทา  หูพารักษา,ฐานรากไทย,23
บุรีรัมย์,1,2,นายสนอง  เทพอักษรณรงค์,ภูมิใจไทย,"41,513"
,,5,นายนภดล  อังคสุภณ,พลังประชารัฐ,"25,979"
,,7,นางสาววันฟ้าสวย  ภัทรไชยนันท์,อนาคตใหม่,"19,403"
,,9,นายชาญชัย  โตพฤกษา,ประชาธิปัตย์,"2,770"
,,12,นายพรหมพิริยะ  โยธิน,เพื่อชาติ,"2,118"
,,8,นายชณชล  มะลิซ้อน,เสรีรวมไทย,"2,054"
,,19,นายวัน  วาสรส,เศรษฐกิจใหม่,"1,205"
,,25,นายจักรพงษ์  คะชุนรัมย์,พลังไทยรักไทย,799
,,1,นายปรีชา  ทองคำ,ชาติไทยพัฒนา,778
,,22,นางสุภาณี  ศรีเมือง,ไทยศรีวิไลย์,611
,,4,นายสุพจน์  เขียมรัมย์,ประชาชนปฏิรูป,428
,,13,นางเลขา  อินทรสุวรรณ,รวมพลังประชาชาติไทย,366
,,26,นายคุณากร  แสนธิ,พลังชาติไทย,281
,,6,นายวิชชา  จันทร์ชัย,ประชาภิวัฒน์,267
,,29,นายรักษ์โยธี  เจริญรัมย์,ผึ้งหลวง,236
,,21,นายหาญณรงค์  พันธ์พงษ์,แผ่นดินธรรม,222
,,30,นายเสน่ห์  นัคราภิบาล,พลังศรัทธา,202
,,17,นายนิพนธ์  สุดตา,เพื่อแผ่นดิน,163
,,28,นายไพบูลย์  นันทะพันธ์,พลังประชาธิปไตย,159
,,31,นางละมัย  พนารินทร์,ไทรักธรรม,158
,,15,นายคชานนท์  สังสูงเนิน,กรีน,156
,,16,นางสาวนนทกร  วัฒนาชีพ,พลังท้องถิ่นไท,134
,,11,นางศรีสกุล  โสภา,รักษ์ผืนป่าประเทศไทย,126
,,10,นายสุชาติ  นามนุ,ชาติพัฒนา,114
,,23,นายพัสกร  พาบุ,ครูไทยเพื่อประชาชน,82
,,27,สิบเอก ประยงค์  สร้อยจิตร,พลังปวงชนไทย,78
บุรีรัมย์,1,24,นายสมเกียรติ  ขุนแข็ง,พลังสังคม,64
,,20,นายทองคำ  ลุนนาแซง,มหาชน,54
,,18,นางสาวจินตนา  มูลเค้า,ประชาธรรมไทย,49
,2,3,นายรังสิกร  ทิมาตฤกะ,ภูมิใจไทย,"34,212"
,,7,นายสุรศักดิ์  นาคดี,เพื่อไทย,"27,956"
,,9,นายวรพจน์  วิบูลย์วิริยะสกุล,พลังประชารัฐ,"13,137"
,,16,นางสาวอิสรีย์  อภิสิริรุจิภาส,อนาคตใหม่,"11,568"
,,6,นายธีรวุฒิ  ทับทิมหิน,ประชาธิปัตย์,"2,091"
,,10,นางธัญญรัตน์  สุกแสง,เสรีรวมไทย,868
,,23,นายยุทธภพ  เผือกมูล,พลังสังคม,595
,,1,นายบุญคง  นพรัตน์วงศกร,รวมพลังประชาชาติไทย,555
,,27,นายสงบ  ไชยศิริ,ผึ้งหลวง,443
,,5,นายชูศักดิ์  พงษ์สวัสดิ์,เพื่อชาติ,418
,,30,นายปรีชา  ปักเสติ,เศรษฐกิจใหม่,333
,,29,นายบรรจง  โคมร้าย,พลังศรัทธา,328
,,2,นางปัญทิพา  ภาพยนตร์,รักษ์ผืนป่าประเทศไทย,289
,,8,นายสมใจ  นะตุม,ชาติพัฒนา,282
,,4,นายนาทภูวพัฒน์  ฉัพพรรณธนกูร,ประชาชาติ,262
,,15,นายเฉลียว  แก้วศรี,พลังท้องถิ่นไท,198
,,24,นายสุทัศน์  ทองไหม,พลังชาติไทย,144
,,21,นายประยงค์  โพธิ์ทอง,ครูไทยเพื่อประชาชน,134
,,19,นายสุรพรชัย  ภูมิอินทร์,ชาติไทยพัฒนา,133
,,31,นางสาวอารยา  เต็นตารัมย์,ไทรักธรรม,129
,,18,นายศุภชัย  เถกิงผล,พลังไทยรักไทย,128
,,20,นางสาวภาลินี  พัชนี,ไทยศรีวิไลย์,128
,,26,นายสนม  อุ่นสำโรง,ประชาไทย,79
,,25,นายศักรินทร์  ภาษี,กรีน,74
,,11,นางสาวพรสวรรณ์  สีหะวงษ์,ประชาชนปฏิรูป,73
,,22,นางอำพร  ขุมทอง,มหาชน,72
,,17,พันเอก พิชัย  สุริยะสุขประเสริฐ,ประชาธรรมไทย,61
,,12,นายจัตุพงษ์  ขันติวงศ์,ประชาภิวัฒน์,47
,,14,นายประดิษฐ์  พันธุ์พินิจ,เพื่อแผ่นดิน,47
,,28,นายเฉลา  แสร์สินธุ์,พลังปวงชนไทย,34
,3,2,นายสมบูรณ์  ซารัมย์,ภูมิใจไทย,"45,821"
,,11,นายพีระพงษ์  เฮงสวัสดิ์,เพื่อไทย,"24,000"
,,8,นายอภิรักษ์  ลิ้มรัตน์,พลังประชารัฐ,"11,147"
,,7,นายภัทรพงศ์  ศุภักษร,อนาคตใหม่,"10,101"
,,3,นายสมคิด  สินไธสง,ประชาธิปัตย์,"1,513"
,,22,นายธนะโรจน์  สร้อยสูงเนิน,พลังชาติไทย,"1,082"
,,12,ร้อยตำรวจโท สมพงษ์  พันธุ์ศรี,เสรีรวมไทย,682
,,1,นายวิเชียร  สุขใหญ่,เพื่อชาติ,635
,,13,นางสาวประกาย  ศรีวงค์,เศรษฐกิจใหม่,421
,,10,นายภาณุพล  ฉาไธสง,รวมพลังประชาชาติไทย,408
,,28,นายกัญรดา  ภูมิอินทร์,พลังไทยรักไทย,297
,,31,นางเพลินภัสสรา  ศิริเมตตาภรณ์,พลังสังคม,282
,,4,นางสาวสิริอร  มาตรคำจันทร์,ชาติพัฒนา,121
,,21,นายนัธทวัฒน์  เจริญใหญ่,พลังท้องถิ่นไท,119
บุรีรัมย์,3,6,นายบุญเชียง  นาคกูล,รักษ์ผืนป่าประเทศไทย,101
,,29,นายสงวนศักดิ์  สาตตา,พลังศรัทธา,96
,,32,นายธนพนธ์  เล็กสิงห์โต,พลังประชาธิปไตย,84
,,5,นางสาวเกตน์สิรี  พูนทรัพย์,ประชาชนปฏิรูป,78
,,17,นายดุสิต  บุผาโต,กรีน,73
,,18,นางหนูลิ้ม  อานไธสง,ครูไทยเพื่อประชาชน,73
,,14,นายลักกี้  ขำเอนก,ชาติไทยพัฒนา,62
,,25,นางสาคร  ไชยสา,ไทยศรีวิไลย์,61
,,30,นางสมนึก  ผาสุขโสม,ไทรักธรรม,59
,,23,นายวีระนันท์  เป้าชุมแสง,ประชาไทย,58
,,27,นายสุทิน  ศรีบุตร,ผึ้งหลวง,55
,,15,พันตำรวจโท บุญเลี้ยง  กิจคติ,ประชาภิวัฒน์,46
,,20,นายสุรัตน์  จิมพละ,ประชาธรรมไทย,45
,,16,นายประสาน  แก้วดวง,เพื่อแผ่นดิน,41
,,24,นายวัฒนสิทธิ์  โมทนา,พลังปวงชนไทย,32
,,19,นางสาวสมจิต  ทนงตน,มหาชน,29
,,26,พันโท จตุพร  แสนกล้า,พลังไทสร้างชาติ,18
,4,4,นายโสภณ  ซารัมย์,ภูมิใจไทย,"47,481"
,,12,นายประกิจ  พลเดช,เพื่อไทย,"20,910"
,,13,นายยุทธนา  ตีระมาศวณิช,พลังประชารัฐ,"16,741"
,,14,นายอภิชัย  สิริสุข,อนาคตใหม่,"7,780"
,,24,นายนิติภูมิ  กองดิน,พลังชาติไทย,"1,256"
,,16,นายปริวัชร  มณีเติม,ประชาธิปัตย์,958
,,15,นายสมพงษ์  แช่มรัมย์,เสรีรวมไทย,719
,,5,ว่าที่ ร้อยโท องอาจ  ศิริเมตตาภรณ์,ชาติไทยพัฒนา,498
,,3,นายธนพรเทพ  สมการณ์เดชากุล,เพื่อชาติ,489
,,1,นางสุจินต์  เภสัชชา,รวมพลังประชาชาติไทย,402
,,18,นางศิริยาณี  ปักเสติ,เศรษฐกิจใหม่,352
,,11,นายวิเชียร  ไพรบึง,ชาติพัฒนา,316
,,2,นายจำลอง  ตาทอง,รักษ์ผืนป่าประเทศไทย,240
,,33,นางบัวลอย  ตะเภาเงิน,ไทรักธรรม,234
,,21,นายพรรลพ  บุญประกอบ,ประชาไทย,200
,,6,นายวุฒิชัย  สุขพรรณดอน,พลังท้องถิ่นไท,199
,,32,นายชาญยุทธ  อามาตย์,พลังประชาธิปไตย,199
,,22,นายยงยุทธ  พยัคฤทธิ์,พลังสังคม,185
,,23,นายสุริยา  โคตรภูธร,แผ่นดินธรรม,157
,,7,นายสวัสดิ์  บุราสิทธิ์,ประชาภิวัฒน์,125
,,20,นายชาญวัญภ์ชัย  วัฒนพรวณิชย์,ประชาธรรมไทย,104
,,31,นายอัษวพล  การดี,ภาคีเครือข่ายไทย,100
,,29,นางสาวณัฎฐกานต์  นามบุตร,พลังไทยรักไทย,94
,,8,นายเกรียงศักดิ์  โพธิมาศ,เพื่อแผ่นดิน,85
,,28,นางรสสุคนธ์  พวงดาว,ไทยศรีวิไลย์,84
,,9,นางลักษมน  คู่สกุล,ประชาชนปฏิรูป,74
,,17,นางประนอม  วงค์มลฑล,กรีน,65
,,25,นางสาวอำนวย  เข็มทิศ,มหาชน,55
,,30,นายทองสา  อ่อนน้ำคำ,ผึ้งหลวง,49
,,19,นายเดช  แผนกระโทก,ครูไทยเพื่อประชาชน,40
บุรีรัมย์,4,27,นายเตียง  โนนทิง,ทางเลือกใหม่,31
,,26,นายเฉลียว  สิงห์ประเสริฐ,พลังปวงชนไทย,19
,5,12,นายอดิพงษ์  ฐิติพิทยา,ภูมิใจไทย,"47,609"
,,4,นายปรัญชญา  ตรีกาญจนา,อนาคตใหม่,"16,557"
,,9,นายสุประดิษฐ์  แสนทวีสุข,พลังประชารัฐ,"13,643"
,,10,นายประเสริฐ  เครือศรี,ประชาธิปัตย์,"2,324"
,,6,นายจักรพงษ์  สงวนชม,เพื่อชาติ,"1,938"
,,1,นายอิทธิศักดิ์  ปาทาน,ประชาชาติ,"1,319"
,,13,นายสมชาย  พรมวัง,เสรีรวมไทย,"1,091"
,,24,นายกงกฤช  แก้วสอน,พลังชาติไทย,865
,,23,นายมหาบุญชู  เจียวรัมย์,เศรษฐกิจใหม่,853
,,32,นายบรรเลง  จวงพลงาม,ไทรักธรรม,679
,,21,นายวุฒิชัย  ภัคกมล,แผ่นดินธรรม,669
,,11,นางสาวสุภาพร  พึ่งจันดุม,ประชาชนปฏิรูป,527
,,2,นายชูชัย  พลวัน,รวมพลังประชาชาติไทย,526
,,22,นายวีรชัช  สายดวง,พลังท้องถิ่นไท,439
,,29,นายชิษณุพงศ์  ระวันประโคน,ภาคีเครือข่ายไทย,402
,,5,นายสุรพงษ์  พลวัน,ชาติไทยพัฒนา,351
,,14,นายพจนารถ  ชำนิจ,ประชาธรรมไทย,333
,,27,นางรุ่งฤดี  อินลี,พลังไทยรักไทย,265
,,8,นายสุเทพ  ปานกลาง,รักษ์ผืนป่าประเทศไทย,260
,,3,นายวรายุทธ์  มีแก้ว,ชาติพัฒนา,246
,,19,นายชาญ  แจ่มใส,ครูไทยเพื่อประชาชน,209
,,16,ร้อยตำรวจโท ประคอง  ไกรคุ้ม,ประชาภิวัฒน์,167
,,17,นายภูริพัฒ  รักษา,ประชาธิปไตยใหม่,88
,,30,นายพีรพล  แผ้วพลสง,พลังสังคม,86
,,25,นายสุพรรณ์  สมสวย,ทางเลือกใหม่,83
,,18,นายมนต์ศักดิ์  ยิ่งยงยุทธ,เพื่อแผ่นดิน,73
,,20,นางสาวแสงเดือน  เหมียดสันเทียะ,มหาชน,73
,,28,นายสมพงษ์  อ่อนน้ำคำ,ผึ้งหลวง,58
,,31,ร้อยตำรวจเอก ธรายุทธ  โพธิสาร,พลังปวงชนไทย,48
,6,5,นายไตรเทพ  งามกมล,ภูมิใจไทย,"41,861"
,,1,นายพรชัย  ศรีสุริยันโยธิน,เพื่อไทย,"31,095"
,,2,นายพีรวัส  พันธุ์สัมฤทธิ์,พลังประชารัฐ,"13,990"
,,21,นายประเวศ  พวงวัฒนธาดา,อนาคตใหม่,"10,167"
,,7,นายภุชงค์  เลาหศิริวงศ์,ประชาธิปัตย์,"1,690"
,,3,นายวันชนะศักดิ์  ธราดลพิทักษ์,เสรีรวมไทย,"1,081"
,,25,นางนิภาพร  มีแย้มภักดิ์,พลังชาติไทย,808
,,15,นายธนบูลย์  สายทะเล,เศรษฐกิจใหม่,641
,,9,นายบุญเรือง  โฉมงาม,ชาติพัฒนา,464
,,22,นายวาสนา  สุขสิงห์ทอง,ครูไทยเพื่อประชาชน,372
,,6,นายสมศักดิ์  ศฤงคาร์นันต์,รวมพลังประชาชาติไทย,358
,,4,นายชาญวิทย์  ชิงชัย,ประชาชนปฏิรูป,255
,,16,นางสาวรำพึง  สวัสดิ์พูน,รักษ์ผืนป่าประเทศไทย,217
,,8,นายสากล  ศรีวันทา,เพื่อชาติ,156
,,10,นายสรเดช  บูลย์เดช,ประชาภิวัฒน์,141
,,17,นายจำลอง  ลำภา,ประชาธิปไตยใหม่,141
บุรีรัมย์,6,30,นางสาวจุฑามาศ  พัชนี,ไทยศรีวิไลย์,134
,,13,นายตี๋  แก้วสีจันทร์,ประชาชาติ,125
,,11,นายธนาศักดิ์  เฉลิมสิทธิวงศา,ชาติไทยพัฒนา,110
,,20,นายสุวิทย์  พัวพันธ์,ประชาธรรมไทย,91
,,12,นางกรวิกา  สุขพรรณดอน,พลังท้องถิ่นไท,88
,,26,นางธนวันต์  ทองคำ,พลังไทยรักไทย,87
,,24,นายวิบูญ  ฮ่มซ้าย,แผ่นดินธรรม,68
,,27,นายเขียว  บุญกองชาติ,พลังปวงชนไทย,59
,,34,นางเพ็ญพร  โพธิ์ชัยเลิศ,ไทรักธรรม,37
,,23,นางมวน  เข็มทิศ,มหาชน,36
,,19,นายคำนวณ  วันโน,เพื่อแผ่นดิน,33
,,31,นางสาวพรปวีณ์  สุหา,ภาคีเครือข่ายไทย,31
,,18,นางกุสุมา  มุ่งเขตกลาง,กรีน,30
,,33,ดาบตำรวจ ประกอบ  ทองเกลี้ยง,พลังสังคม,27
,,32,นายภัทรพงศ์  สมสวย,ทางเลือกใหม่,22
,,28,นายนพนัย  รักเจริญ,ผึ้งหลวง,20
,7,6,นายจักรกฤษณ์  ทองศรี,ภูมิใจไทย,"39,282"
,,1,นายวรณัฐ  ศรีสุริยชัย,พลังประชารัฐ,"26,930"
,,4,นางรัชตา  ฉัตรอังกูร,อนาคตใหม่,"16,940"
,,9,นายภูมิสิทธิ์  มาประจง,ประชาธิปัตย์,"5,228"
,,5,นายวิสิทธิ์  สุขบรรเทิง,เสรีรวมไทย,"1,808"
,,13,นายทรงพล  วิชัยกูล,เพื่อชาติ,"1,390"
,,21,นายปัจธมานนท์  ประเสริฐสวัสดิ์,พลังปวงชนไทย,636
,,26,นายณภัทร์ษธร  กล้วยประโคน,พลังสังคม,563
,,27,นายประจน  โสภาชัย,เศรษฐกิจใหม่,444
,,3,นายราชันย์  ชาญประโคน,ประชาธรรมไทย,436
,,7,นายทรงศักดิ์  ประดิษฐโสภณ,ประชาชนปฏิรูป,251
,,16,พันโท ณรงค์  ชัยเชิดชู,กรีน,222
,,22,นางสาวอนุสรา  งามปัญญา,ไทยศรีวิไลย์,182
,,8,นางคำ  แพทย์เมืองจันทร์,ชาติพัฒนา,157
,,24,นายธรรมรงค์  สดนางรอง,ผึ้งหลวง,121
,,23,นายอำนาจ  วาประสิทธิ์,ชาติไทยพัฒนา,115
,,10,นางรัมภา  ชัยชนะ,รักษ์ผืนป่าประเทศไทย,109
,,19,นายวันทา  สมร่าง,พลังชาติไทย,107
,,25,นายศุภสหไชยกร  ตระกูลบุญสิงห์,ภาคีเครือข่ายไทย,107
,,11,นายปรีชา  เข็มบุบผา,รวมพลังประชาชาติไทย,105
,,29,นางสาวจันทรส  ปรีชากูล,ประชาไทย,101
,,17,นายใหญ่  คิมประโคน,ครูไทยเพื่อประชาชน,71
,,20,นายสัมฤทธิ์  ชำนาญกิจ,แผ่นดินธรรม,70
,,15,นายวรวุฒิ  คงวิเศษ,พลังท้องถิ่นไท,56
